pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_69903,10-07-2016 00:00,21-09-2016 16:25,2,Brown Tabby,0.8,7.78,13,9,0,1
ANSL_66892,21-11-2013 00:00,27-12-2018 17:47,1,White,0.72,14.19,13,9,0,2
ANSL_69750,28-09-2014 00:00,19-10-2016 08:24,,Brown,0.15,40.9,15,4,2,4
ANSL_71623,31-12-2016 00:00,25-01-2019 18:30,1,White,0.62,17.82,0,1,0,2
ANSL_57969,28-09-2017 00:00,19-11-2017 09:38,2,Black,0.5,11.06,18,4,0,1
ANSL_52200,25-10-2017 00:00,10-03-2019 13:18,0,Red,0.92,29.56,0,7,1,2
ANSL_75444,06-11-2018 00:00,09-04-2019 16:00,2,Brown Tabby,0.14,40.24,0,1,0,1
ANSL_52759,05-06-2018 00:00,02-09-2018 17:04,0,White,0.15,25.48,7,1,1,1
ANSL_74632,10-10-2015 00:00,04-08-2016 16:29,2,Brown,0.05,38.22,13,9,1,2
ANSL_56464,18-02-2014 00:00,17-03-2017 11:38,2,Brown,0.55,21.26,13,9,1,2
ANSL_69485,17-11-2004 00:00,15-12-2016 13:33,0,Tricolor,0.3,23.06,0,1,1,2
ANSL_51014,17-06-2017 00:00,08-02-2018 09:00,2,Brown Tabby,0.44,40.32,16,9,1,1
ANSL_76771,07-02-2017 00:00,10-05-2019 16:42,1,Black,0.2,30.78,13,9,0,2
ANSL_69252,29-11-2016 00:00,31-05-2017 00:00,1,White,0.45,5.39,13,9,0,2
ANSL_58085,29-01-2018 00:00,02-05-2018 17:46,0,Calico,0.48,30.54,0,1,1,1
ANSL_63686,20-07-2016 00:00,10-10-2016 12:14,1,Black,0.18,49.05,13,9,0,1
ANSL_66127,20-03-2016 00:00,03-11-2016 13:55,1,Red,0.88,49.5,7,1,0,2
ANSL_52366,06-01-2009 00:00,27-01-2019 11:56,1,Black,0.93,14.83,0,7,0,2
ANSL_55607,28-11-2013 00:00,28-12-2017 00:00,2,Brown Brindle,0.76,38.99,13,9,1,2
ANSL_72451,23-08-2018 00:00,29-11-2018 11:46,0,Black,0.96,24.33,0,1,1,1
ANSL_66055,25-01-2008 00:00,15-08-2016 11:27,1,Brown Tabby,0.66,36.01,0,1,0,1
ANSL_50488,07-01-2018 00:00,28-07-2018 12:36,,Brown,0.45,14,11,4,2,4
ANSL_68751,14-03-2018 00:00,24-05-2018 17:10,0,White,0.92,49.5,7,1,1,2
ANSL_57387,22-11-2014 00:00,10-04-2017 16:55,0,Blue,0.31,49.04,13,9,1,2
ANSL_67782,02-08-2012 00:00,07-01-2019 00:00,2,Black,0.51,45.53,13,9,0,2
ANSL_76397,11-04-2018 00:00,02-05-2019 14:16,1,Black,0.8,37.17,0,7,0,2
ANSL_59210,30-12-2017 00:00,25-04-2018 17:41,0,Tortie,0.53,35.06,0,1,1,1
ANSL_56018,25-01-2011 00:00,10-03-2017 12:21,1,Gray,0.32,48.92,0,7,0,2
ANSL_53325,01-09-2015 00:00,23-09-2016 18:16,1,Fawn,0.98,14.02,0,7,0,2
ANSL_52456,18-07-2010 00:00,18-02-2018 14:46,0,Tricolor,0.68,22.33,0,7,1,2
ANSL_55113,29-11-2013 00:00,28-12-2016 16:15,1,Buff,0.16,27.19,0,1,0,2
ANSL_73983,04-10-2005 00:00,27-10-2018 00:00,1,White,0.6,49.36,13,9,0,2
ANSL_62164,13-02-2009 00:00,14-12-2017 15:49,0,Black,0.83,22.34,0,1,1,2
ANSL_53732,28-07-2017 00:00,27-03-2019 15:40,0,White,0.92,37.62,0,1,1,1
ANSL_69635,26-05-2017 00:00,21-06-2018 15:15,2,White,0.16,48.19,0,7,1,2
ANSL_54000,14-01-2018 00:00,11-02-2018 14:49,,White,0.03,21.9,13,9,2,1
ANSL_66035,26-08-2017 00:00,15-11-2018 15:15,1,Black,0.91,30.24,13,9,0,2
ANSL_50166,06-07-2018 00:00,30-09-2018 18:44,0,Torbie,0.73,15.86,0,1,1,1
ANSL_50330,27-07-2017 00:00,18-02-2018 10:19,,Brown,0.73,8.22,0,6,2,4
ANSL_66446,14-03-2010 00:00,10-04-2017 14:17,1,Orange Tabby,0.9,12.88,0,7,0,1
ANSL_51682,08-06-2017 00:00,30-07-2018 18:36,1,Tricolor,0.88,41.37,0,7,0,2
ANSL_56697,31-10-2014 00:00,21-11-2016 15:26,2,Brown,0.65,18.14,13,9,1,4
ANSL_60819,23-10-2015 00:00,26-12-2017 11:11,0,Black,0.79,10.9,7,1,1,1
ANSL_58673,29-12-2017 00:00,08-03-2018 11:04,,Black,0.08,30.4,9,2,2,1
ANSL_62458,17-04-2018 00:00,14-12-2018 17:42,0,Blue,0.05,44.1,0,1,1,1
ANSL_64552,23-10-2016 00:00,14-11-2017 09:00,0,Orange Tabby,0.52,13.25,16,9,1,1
ANSL_75413,29-11-2018 00:00,08-04-2019 17:09,1,Black,0.62,32.76,0,1,0,2
ANSL_76141,29-03-2018 00:00,26-04-2019 11:49,1,White,0.42,10.38,0,8,0,2
ANSL_60574,20-01-2015 00:00,09-04-2018 09:30,1,Black,0.53,42.92,13,9,0,1
ANSL_55045,06-03-2015 00:00,28-03-2017 19:02,0,Black,0.07,7.09,16,9,1,1
ANSL_66680,24-08-2016 00:00,24-09-2017 14:28,0,Blue,0.41,35.07,0,1,1,2
ANSL_55030,20-03-2008 00:00,23-07-2017 17:26,2,Sable,0.54,17.01,0,7,0,2
ANSL_75554,04-03-2017 00:00,12-04-2019 13:06,0,White,0.19,30.01,13,9,1,2
ANSL_62016,15-12-2016 00:00,07-01-2019 21:55,,Brown Tabby,0.44,49.68,18,4,2,1
ANSL_69645,28-01-2015 00:00,28-02-2018 18:24,0,Tan,0.67,15.38,0,7,1,2
ANSL_52823,13-03-2014 00:00,31-12-2017 14:42,1,Tan,0.7,12.53,0,7,0,2
ANSL_76493,07-04-2017 00:00,03-05-2019 21:07,1,Brown,0.8,29.12,0,1,0,2
ANSL_52483,16-07-2016 00:00,15-10-2016 15:50,2,Brown Tabby,0.33,46.54,18,4,0,1
ANSL_56705,29-10-2016 00:00,24-11-2017 17:35,0,Tan,0.09,20.71,0,1,1,2
ANSL_71550,03-08-2016 00:00,29-10-2016 19:51,1,White,0.62,35.64,7,1,0,1
ANSL_74451,21-06-2016 00:00,12-06-2018 11:35,1,Black,0.83,17.96,0,7,0,1
ANSL_54362,09-12-2016 00:00,03-11-2017 17:36,0,Black,0.04,43.27,0,1,1,2
ANSL_55262,03-07-2016 00:00,28-07-2017 18:59,1,Orange Tabby,0.38,32.15,16,9,0,1
ANSL_52281,08-04-2016 00:00,09-05-2018 14:57,0,Blue,0.1,44.25,0,1,1,2
ANSL_50293,18-11-2016 00:00,21-02-2017 15:23,2,Brown Tabby,0.73,35.42,9,2,0,1
ANSL_63670,15-09-2010 00:00,31-03-2019 18:39,0,Brown Tabby,0.31,49.06,0,1,1,1
ANSL_54345,03-01-2014 00:00,27-01-2019 14:54,0,Tricolor,0.3,23.88,0,7,1,2
ANSL_54467,07-01-2016 00:00,29-01-2018 07:48,,Red,0.49,39.78,15,4,2,4
ANSL_63117,07-02-2015 00:00,28-02-2018 16:16,1,Black,0.24,40.52,0,7,0,1
ANSL_75526,18-03-2016 00:00,11-04-2019 15:06,2,Black,0.79,39.36,0,3,0,1
ANSL_58969,20-11-2016 00:00,16-12-2016 16:40,,Brown Tabby,0.17,32.6,13,9,2,1
ANSL_61988,05-05-2010 00:00,25-05-2018 14:28,2,Buff,0.27,32.8,18,4,0,1
ANSL_69265,02-02-2016 00:00,17-03-2018 14:27,1,Blue Tick,0.58,39.96,0,1,0,2
ANSL_76161,05-04-2011 00:00,27-04-2019 11:40,0,Black,0.18,48.06,0,7,1,2
ANSL_72371,12-07-2017 00:00,05-08-2018 17:08,0,White,0.01,30.99,0,1,1,2
ANSL_62897,22-09-2015 00:00,07-09-2018 12:08,0,Brown,0.56,16.55,7,1,1,2
ANSL_60626,19-08-2018 00:00,17-11-2018 16:12,0,Orange Tabby,0.46,27.83,0,1,1,1
ANSL_55226,23-09-2014 00:00,04-11-2017 17:07,1,Brown,0.45,35.75,0,1,0,2
ANSL_75066,01-03-2018 00:00,20-09-2018 10:42,,Red,0.15,36.73,12,1,2,0
ANSL_58763,29-11-2016 00:00,24-12-2018 17:41,2,Tricolor,0.64,35.69,13,9,1,2
ANSL_63362,19-03-2016 00:00,26-04-2018 17:13,1,Orange Tabby,0.3,29.19,0,1,0,1
ANSL_60528,27-10-2014 00:00,18-11-2017 09:00,1,Orange Tabby,0.32,40.57,16,9,0,1
ANSL_66119,02-03-2015 00:00,05-04-2018 13:45,1,Black,0.1,7.12,0,7,0,2
ANSL_73664,04-10-2017 00:00,02-12-2018 08:09,1,Black,0,32.98,7,1,0,2
ANSL_58286,01-10-2015 00:00,11-11-2018 16:03,0,Blue,0.01,43.68,0,1,1,1
ANSL_54029,29-07-2016 00:00,20-09-2018 19:05,0,Torbie,0.89,12.65,0,1,1,1
ANSL_73990,02-07-2016 00:00,28-11-2016 18:54,1,White,0.46,19.38,0,1,0,1
ANSL_54886,30-01-2018 00:00,06-03-2019 12:20,0,Brown Tabby,0.91,45.39,0,1,1,1
ANSL_75713,22-03-2018 00:00,16-04-2019 12:42,2,Brown Tabby,0.43,49.54,17,9,1,1
ANSL_61116,10-11-2016 00:00,18-02-2017 18:57,0,Brown Tabby,0.67,42.6,0,1,1,1
ANSL_60330,05-09-2017 00:00,11-12-2017 20:10,1,Black,0.93,20.02,0,1,0,2
ANSL_72100,09-06-2017 00:00,03-07-2018 14:53,0,Tan,0,22.2,0,7,1,2
ANSL_66412,27-01-2017 00:00,03-03-2019 11:54,0,Orange,0.41,6.47,0,1,1,1
ANSL_70858,30-07-2017 00:00,24-08-2018 16:59,1,Black,0.02,36.19,17,9,0,1
ANSL_73513,24-11-2016 00:00,25-02-2017 18:47,0,Torbie,0.44,25.45,0,1,1,1
ANSL_70120,24-06-2014 00:00,19-01-2018 18:19,1,Tan,0.21,31.52,0,7,0,2
ANSL_71504,04-07-2016 00:00,25-11-2016 18:46,0,Blue Tabby,0.11,42.76,0,1,1,1
ANSL_71993,21-07-2012 00:00,05-08-2017 17:34,0,Chocolate,0.84,22.98,0,7,1,2
ANSL_69762,27-12-2013 00:00,05-10-2018 15:59,0,Black,0.09,8.86,0,1,1,1
ANSL_59393,19-07-2018 00:00,23-12-2018 19:15,1,Orange Tabby,0.06,15.46,0,1,0,1
ANSL_76646,24-09-2018 00:00,08-05-2019 13:05,2,White,0.61,25.47,0,7,0,2
ANSL_66359,16-01-2015 00:00,07-02-2017 09:16,2,Orange Tabby,0.81,42.33,18,4,0,1
ANSL_67558,02-10-2010 00:00,22-10-2018 13:25,1,Chocolate,0.14,45.05,0,7,0,2
ANSL_52564,01-06-2009 00:00,26-06-2017 17:07,2,Black,0.05,31.45,13,9,1,1
ANSL_63471,19-02-2007 00:00,10-03-2017 18:29,2,Brown Tabby,0.82,17.62,9,2,1,1
ANSL_50012,04-09-2016 00:00,23-01-2017 18:20,1,Black,0.81,29.03,0,1,0,1
ANSL_54755,12-04-2015 00:00,07-09-2018 16:46,0,White,0.76,46.05,0,1,1,2
ANSL_69874,16-09-2016 00:00,11-10-2018 15:57,1,Black,0.92,11.19,0,1,0,1
ANSL_52815,17-11-2016 00:00,10-12-2016 19:24,,Calico,0.99,44.23,13,9,2,1
ANSL_63690,18-09-2016 00:00,10-10-2018 09:16,,Red,0.16,8.42,15,4,2,4
ANSL_74184,17-09-2017 00:00,31-10-2017 12:24,2,Black Tabby,0.33,33.54,13,9,0,1
ANSL_68874,16-11-2016 00:00,02-04-2017 13:44,2,Black,0.95,44.05,13,9,1,1
ANSL_64736,13-08-2014 00:00,03-09-2017 18:54,2,Red,0.17,33.19,15,4,1,4
ANSL_60337,13-09-2016 00:00,17-12-2016 14:57,1,Tan,0.14,17.85,13,9,0,2
ANSL_65602,11-10-2017 00:00,04-01-2018 17:17,2,Brown Tabby,0.37,17.3,0,1,0,1
ANSL_66640,06-09-2016 00:00,16-12-2016 17:30,1,Black Brindle,0.41,24.66,0,1,0,2
ANSL_55016,04-04-2016 00:00,28-04-2017 18:45,1,Cream Tabby,0.52,6.25,0,1,0,1
ANSL_74939,24-03-2016 00:00,13-11-2017 16:00,1,White,0.91,24.31,0,7,0,2
ANSL_54794,06-09-2017 00:00,04-12-2017 12:30,0,Blue Tabby,0.69,42.55,0,1,1,1
ANSL_66067,03-12-2011 00:00,23-12-2016 16:42,0,Black,0.04,5.4,0,7,1,2
ANSL_67472,10-07-2016 00:00,06-10-2016 18:40,1,Orange Tabby,0.03,8.12,0,1,0,1
ANSL_61924,17-11-2017 00:00,19-06-2018 14:48,0,Tan,0.18,26.67,0,1,1,2
ANSL_57027,07-11-2018 00:00,09-02-2019 17:06,0,Torbie,0.04,13.85,0,1,1,1
ANSL_63245,23-03-2014 00:00,13-04-2018 15:38,1,Black,0.08,29.65,0,7,0,2
ANSL_67439,23-06-2018 00:00,16-01-2019 15:20,2,White,0.2,32.09,13,9,0,2
ANSL_61569,22-10-2015 00:00,21-05-2017 12:01,2,Black,0.15,31.43,0,7,0,2
ANSL_66720,26-10-2017 00:00,14-12-2018 19:15,1,Brown Brindle,0.63,22.83,0,1,0,2
ANSL_69437,16-07-2017 00:00,09-01-2018 13:02,1,Blue,0.9,24.96,7,1,0,1
ANSL_65204,21-07-2016 00:00,17-09-2016 13:31,2,Black,0.81,43.14,13,9,0,1
ANSL_60534,13-07-2017 00:00,05-03-2018 15:44,0,Gold,0.36,15.45,0,1,1,2
ANSL_71253,19-12-2016 00:00,12-06-2018 12:21,0,Brown Tabby,0.49,7.78,13,9,1,1
ANSL_61331,07-06-2018 00:00,28-07-2018 14:40,2,Black,0.27,12.54,13,9,0,1
ANSL_59868,04-02-2016 00:00,29-04-2018 16:38,,Brown,0.97,46.19,0,3,2,4
ANSL_64532,30-06-2017 00:00,11-10-2017 00:00,2,Calico Point,0.53,20.28,9,5,1,1
ANSL_59797,28-12-2011 00:00,18-01-2019 09:36,1,White,0.4,47.42,0,7,0,2
ANSL_50355,21-05-2014 00:00,11-06-2017 18:13,1,Blue Merle,0.04,45.23,0,7,0,2
ANSL_61861,04-03-2006 00:00,01-04-2019 11:36,0,Brown Tabby,0.77,27.39,0,7,1,1
ANSL_75174,20-06-2018 00:00,16-10-2018 11:00,0,Blue,0.19,26.1,13,9,1,1
ANSL_65618,29-11-2012 00:00,04-03-2018 00:00,1,Blue Merle,0.5,12.22,0,7,0,2
ANSL_71574,09-04-2016 00:00,01-06-2018 18:36,0,Brown Brindle,0.9,48.26,0,1,1,2
ANSL_61677,26-06-2018 00:00,29-10-2018 18:00,1,Blue Tabby,0.3,31.37,7,1,0,1
ANSL_60315,13-07-2017 00:00,24-09-2018 18:40,0,Blue Tabby,0.91,27.96,0,1,1,1
ANSL_58968,22-08-2016 00:00,22-11-2016 15:31,0,Tortie,1,27.77,0,1,1,1
ANSL_75417,23-01-2019 00:00,08-04-2019 18:26,1,Tan,0.53,22.5,7,1,0,2
ANSL_67786,25-06-2012 00:00,23-07-2016 11:55,0,White,0.49,18.86,13,9,1,2
ANSL_64363,22-11-2016 00:00,12-12-2018 00:00,2,Black,0.48,12.48,2,4,0,1
ANSL_69159,11-11-2011 00:00,04-12-2016 17:59,0,White,0.73,9.2,0,7,1,2
ANSL_64748,18-09-2016 00:00,09-10-2017 17:26,0,White,0.21,47.6,0,7,1,2
